Pizze;;;;;;;
Margherita;5;;;;;;
Acciughina;6;;;;;;
Acetina;7;;;;;;
Bufala;7;;;;;;
Bismark;7;;;;;;
Cantinetta;7;;;;;;
Country;7;;;;;;
Formaggi;6;;;;;;
FunghiSalsi;8;;;;;;
GorgoCipo;6;;;;;;
Greca;6;;;;;;
Ligure;6;;;;;;
Parmigiana;7;;;;;;
Piccantina;6;;;;;;
Porcini;8;;;;;;
Prosciutto;6;;;;;;
Rustica;7;;;;;;
Salsiccia;6;;;;;;
SalsiCipo;6;;;;;;
SalsiFria;7;;;;;;
Trentina;7;;;;;;
Vegetariana;6;;;;;;
Venariese;7;;;;;;
Wurstel;6;;;;;;
Padano;7;;;;;;
Romana;7;;;;;;
Pugliese;7;;;;;;
Emiliana;7;;;;;;
Fume';7;;;;;;
Genovese;7;;;;;;
Delizia dell'orto;8;;;;;;
Rinforzi  ;1;;;;;;
;;;;;;;
Antipasti;;;;;;;
Cantinetti; 5 ;;;;;;
Cantinetti e fond; 9 ;;;;;;
Cantinetti e Gorgo; 9 ;;;;;;
Sapori d'italia; 12 ;;;;;;
Piatto dell'estate; 11 ;;;;;;
Tagliere crudo; 12 ;;;;;;
Antipasto Vegan; 8 ;;;;;;
Bruschette;;;;;;;
Brusc-Pom e orig; 5 ;;;;;;
Brusc-La bufala; 7 ;;;;;;
Brusc-Salsiccia; 7 ;;;;;;
Brusc-Gamberi; 7 ;;;;;;
Brusc-Parma; 7 ;;;;;;
Primi;;;;;;;
Agnolotti al traminer; 9 ;;;;;;
Troccoli; 9 ;;;;;;
Orecchiette; 9 ;;;;;;
Gnocchi Ragù/Piopp; 9 ;;;;;;
Gnocchi ai formaggi; 9 ;;;;;;
Tagliatelle asp e gamb; 10 ;;;;;;
Secondi;;;;;;;
Spiedoni ; 10 ;;;;;;
Arrosticini ; 10 ;;;;;;
Grigliata Mista; 17 ;;;;;;
Filetto di maiale; 10 ;;;;;;
;;;;;;;
 ;   ;;;;;;
Maxipiatti;;;;;;;
M-Hamburger fassona; 14 ;;;;;;
M-Hamburger bufalo; 14 ;;;;;;
M-Rustichella; 14 ;;;;;;
M-filetto di maiale; 14 ;;;;;;
M-Vegetariano; 12 ;;;;;;
 ;   ;;;;;;
Patatine fritte; 3 ;;;;;;
Patatine fritte del re; 4 ;;;;;;
Dolci;;;;;;;
Cantinetti & nutella; 5 ;;;;;;
Focaccia alla nutella; 5 ;;;;;;
Lavagna;;;;;;;
Lavagna 4; 4 ;;;;;;
Lavagna 8; 8 ;;;;;;
Lavagna 9; 9 ;;;;;;
Lavagna 10; 10 ;;;;;;
Lavagna 12; 12 ;;;;;;
Lavagna 13; 13 ;;;;;;
Lavagna 14; 14 ;;;;;;
Lavagna 15; 15 ;;;;;;
Panini;;;;;;;
 ;   ;;;;;;
Grattacielo; 10 ;;;;;;
Guardia; 5 ;;;;;;
hw; 6 ;;;;;;
Hot Dog; 4 ;;;;;;
Cotto; 5 ;;;;;;
Burger; 4 ;;;;;;
Funghi'B; 6 ;;;;;;
Gorgo'B; 5 ;;;;;;
Onion'b; 5 ;;;;;;
Pata'B; 5 ;;;;;;
Pig'B; 5 ;;;;;;
Funghi'S; 6 ;;;;;;
Gorgo'S; 5 ;;;;;;
Menda'S; 5 ;;;;;;
Onion'S; 5 ;;;;;;
Salsiccia; 4 ;;;;;;
